Both Price And Arrival from 01-Jan-2018 To 31-May-2018 Total Arrival- 5702420.64,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Alirajpur,Alirajpur,147 Average,Cereals,12.5,1400,1500,1450,18-May-18
Madhya Pradesh,Alirajpur,Alirajpur,147 Average,Cereals,15,1500,1550,1525,29-Jan-18
Madhya Pradesh,Alirajpur,Alirajpur,147 Average,Cereals,25,1600,1735,1735,18-Apr-18
Madhya Pradesh,Alirajpur,Alirajpur,147 Average,Cereals,25.4,1500,1550,1525,28-Jan-18
Madhya Pradesh,Alirajpur,Alirajpur,147 Average,Cereals,36.7,1500,1550,1525,10-Mar-18
Madhya Pradesh,Alirajpur,Alirajpur,147 Average,Cereals,110.5,1600,1735,1700,4-Apr-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,14,1500,1700,1600,9-Feb-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,16,1735,1800,1740,6-May-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,16,1735,1800,1740,23-Mar-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,20.65,1735,1800,1740,25-Apr-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,22,1600,1700,1650,12-Jan-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,31.85,1735,1800,1740,30-Apr-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,53,1500,1600,1525,21-May-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,107.7,1735,1800,1740,20-May-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,141.65,1735,1800,1740,8-May-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,151.2,1735,1800,1740,28-Apr-18
Madhya Pradesh,Anupur,Anuppur,Deshi,Cereals,2,1751,1751,1751,22-May-18
Madhya Pradesh,Anupur,Anuppur,Deshi,Cereals,2.05,1525,1525,1525,9-Mar-18
Madhya Pradesh,Anupur,Anuppur,Deshi,Cereals,17,1627,1627,1627,17-Jan-18
Madhya Pradesh,Anupur,Jaithari,Other,Cereals,2.8,1650,1650,1650,27-Feb-18
Madhya Pradesh,Anupur,Jaithari,Other,Cereals,4,1650,1750,1650,19-Feb-18
Madhya Pradesh,Anupur,Kotma,Other,Cereals,1.74,1650,1650,1650,13-Mar-18
Madhya Pradesh,Anupur,Kotma,Other,Cereals,8,1740,1740,1740,14-May-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Deshi,Cereals,139,1800,2000,1900,1-Jan-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Deshi,Cereals,"1,114.40",2000,2200,2100,23-Mar-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Deshi,Cereals,"1,167.60",1815,2235,2000,17-May-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Lokwan,Cereals,217,1552,1700,1600,17-Jan-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Lokwan,Cereals,888.5,1490,1735,1600,10-Apr-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Lokwan,Cereals,"1,212.10",1525,1735,1625,23-May-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Lokwan,Cereals,"1,413.00",1500,1735,1600,23-Apr-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Sharbati,Cereals,184.9,2370,2601,2440,24-Jan-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Sharbati,Cereals,217,2315,2527,2461,17-Jan-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Sharbati,Cereals,223,2310,2522,2440,4-Jan-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Sharbati,Cereals,683.1,2410,2605,2575,24-May-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Sharbati,Cereals,987.6,2400,2915,2600,26-Mar-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Sharbati,Cereals,"1,058.30",2370,2681,2400,16-May-18
Madhya Pradesh,Ashoknagar,Chanderi,Mill Quality,Cereals,6.6,1600,1700,1650,30-May-18
Madhya Pradesh,Ashoknagar,Chanderi,Mill Quality,Cereals,222.8,1450,1585,1500,19-Jan-18
Madhya Pradesh,Ashoknagar,Chanderi,Mill Quality,Cereals,323.4,1550,1700,1600,4-May-18
Madhya Pradesh,Ashoknagar,Chanderi,Mill Quality,Cereals,416.6,1500,1600,1550,9-Apr-18
Madhya Pradesh,Ashoknagar,Isagarh,Other,Cereals,0.8,1615,1615,1615,6-Jan-18
Madhya Pradesh,Ashoknagar,Isagarh,Other,Cereals,4.7,1570,2495,2100,8-Jan-18
Madhya Pradesh,Ashoknagar,Isagarh,Other,Cereals,21.6,1695,2000,1860,11-May-18
Madhya Pradesh,Ashoknagar,Mungawali,Lokwan,Cereals,3.6,1550,1640,1590,9-Jan-18
Madhya Pradesh,Ashoknagar,Mungawali,Lokwan,Cereals,5.2,1570,1605,1575,12-Mar-18
Madhya Pradesh,Ashoknagar,Mungawali,Lokwan,Cereals,9,1510,2160,1735,20-Apr-18
Madhya Pradesh,Ashoknagar,Mungawali,Lokwan,Cereals,39.6,1400,1580,1500,8-Jan-18
Madhya Pradesh,Ashoknagar,Mungawali,Lokwan,Cereals,55.7,1550,2220,1885,16-May-18
Madhya Pradesh,Ashoknagar,Mungawali,Lokwan,Cereals,59.3,1550,1845,1700,23-May-18
Madhya Pradesh,Ashoknagar,Mungawali,Lokwan,Cereals,69.1,1500,2265,1880,9-May-18
Madhya Pradesh,Alirajpur,Alirajpur,147 Average,Cereals,12.3,1500,1600,1550,1-Mar-18
Madhya Pradesh,Alirajpur,Alirajpur,147 Average,Cereals,22.7,1500,1600,1550,3-Feb-18
Madhya Pradesh,Alirajpur,Alirajpur,147 Average,Cereals,34.15,1600,1735,1700,9-Apr-18
Madhya Pradesh,Alirajpur,Alirajpur,147 Average,Cereals,67.9,1725,1740,1735,7-May-18
Madhya Pradesh,Alirajpur,Alirajpur,147 Average,Cereals,95.6,1600,1735,1700,8-Apr-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,23,1500,1700,1600,19-Feb-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,45.1,1500,1700,1600,9-Jan-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,56.9,1500,1700,1600,13-Mar-18
Madhya Pradesh,Alirajpur,Jobat,Other,Cereals,268.7,1735,1800,1740,16-Apr-18
Madhya Pradesh,Anupur,Anuppur,Deshi,Cereals,1.5,1736,1736,1736,7-May-18
Madhya Pradesh,Anupur,Anuppur,Deshi,Cereals,1.5,1736,1736,1736,8-May-18
Madhya Pradesh,Anupur,Anuppur,Deshi,Cereals,1.5,1736,1736,1736,20-Apr-18
Madhya Pradesh,Anupur,Anuppur,Deshi,Cereals,5,1500,1500,1500,22-Jan-18
Madhya Pradesh,Anupur,Jaithari,Other,Cereals,1.5,1750,1750,1750,17-May-18
Madhya Pradesh,Anupur,Jaithari,Other,Cereals,9,1750,1750,1750,26-Apr-18
Madhya Pradesh,Anupur,Jaithari,Other,Cereals,15.2,1750,1750,1750,29-Apr-18
Madhya Pradesh,Anupur,Jaithari,Other,Cereals,25,1750,1750,1750,4-May-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Deshi,Cereals,218.5,1850,2000,1910,10-Jan-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Deshi,Cereals,234,1800,2000,1900,27-Feb-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Deshi,Cereals,683.1,1800,2000,1900,24-May-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Deshi,Cereals,739.7,1800,2000,1900,14-May-18
Madhya Pradesh,Ashoknagar,Ashoknagar,Deshi,Cereals,"1,030.60",2000,2200,2100,28-Mar-18
