Both Price And Arrival from 01-Jun-2018 To 01-Jan-2019 Total Arrival- 2053390.55,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Uttar Pradesh,Agra,Achnera,Dara,Cereals,5,1800,1900,1850,15-Dec-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,5,1800,1900,1850,23-Dec-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,6,1800,1860,1830,4-Dec-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,6,1800,1860,1830,12-Nov-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,7,1780,1820,1800,19-Oct-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,7,1800,1860,1830,2-Sep-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,7,1800,1860,1830,16-Nov-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,7,1800,1860,1830,19-Sep-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,7,1800,1880,1840,4-Sep-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,7,1800,1880,1840,12-Sep-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,7,1800,1880,1840,16-Sep-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,8,1680,1750,1735,27-Jul-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,8,1700,1780,1740,30-Jul-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,8,1780,1820,1800,11-Nov-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,8,1800,1860,1830,31-Aug-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,9,1750,1850,1800,6-Aug-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,9,1800,1860,1830,5-Oct-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,11,1680,1735,1735,20-Jul-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,12,1770,1870,1820,12-Aug-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,13,1650,1735,1735,5-Jun-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,16,1700,1735,1735,11-Jul-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,18,1700,1735,1735,2-Jul-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,28,1700,1735,1735,27-Jun-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,35,1680,1735,1735,23-Jun-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,207,1840,1880,1860,8-Oct-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,215,1860,1900,1880,29-Sep-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,239,1850,1900,1880,10-Oct-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,260,1870,1900,1890,28-Dec-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,310,1890,1920,1910,15-Dec-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,370,1860,1900,1880,25-Oct-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,420,1750,1790,1770,14-Aug-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,449,1770,1810,1790,23-Aug-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,465,1840,1880,1860,22-Oct-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,"1,050.00",1600,1630,1615,28-Jun-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,"1,180.00",1580,1620,1600,29-Jun-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,"1,750.00",1710,1750,1735,11-Jun-18
Uttar Pradesh,Agra,Agra,Dara,Cereals,"1,838.00",1720,1750,1735,1-Jun-18
Uttar Pradesh,Agra,Fatehabad,Dara,Cereals,6.5,1750,1820,1780,29-Sep-18
Uttar Pradesh,Agra,Fatehabad,Dara,Cereals,8.2,1750,1820,1800,1-Oct-18
Uttar Pradesh,Agra,Fatehabad,Dara,Cereals,12,1700,1750,1720,17-Jul-18
Uttar Pradesh,Agra,Fatehabad,Dara,Cereals,15,1650,1750,1700,30-Jul-18
Uttar Pradesh,Agra,Fatehabad,Dara,Cereals,21,1780,1850,1820,17-Oct-18
Uttar Pradesh,Agra,Fatehabad,Dara,Cereals,32,1800,1880,1840,24-Nov-18
Uttar Pradesh,Agra,Fatehabad,Dara,Cereals,42,1800,1850,1820,27-Nov-18
Uttar Pradesh,Agra,Fatehpur Sikri,Dara,Cereals,6.5,1810,1900,1860,21-Dec-18
Uttar Pradesh,Agra,Fatehpur Sikri,Dara,Cereals,6.5,1840,1920,1880,1-Jan-19
Uttar Pradesh,Agra,Fatehpur Sikri,Dara,Cereals,7,1760,1850,1815,10-Oct-18
Uttar Pradesh,Agra,Fatehpur Sikri,Dara,Cereals,8,1810,1910,1855,29-Nov-18
Uttar Pradesh,Agra,Fatehpur Sikri,Dara,Cereals,10.5,1760,1830,1800,10-Sep-18
Uttar Pradesh,Agra,Fatehpur Sikri,Dara,Cereals,10.5,1770,1840,1815,4-Sep-18
Uttar Pradesh,Agra,Jagnair,Dara,Cereals,7,1800,1880,1840,11-Sep-18
Uttar Pradesh,Agra,Jagnair,Dara,Cereals,8,1800,1840,1820,17-Oct-18
Uttar Pradesh,Agra,Jagnair,Dara,Cereals,8,1800,1850,1825,21-Sep-18
Uttar Pradesh,Agra,Jagnair,Dara,Cereals,8,1800,1860,1830,13-Sep-18
Uttar Pradesh,Agra,Jagnair,Dara,Cereals,8,1800,1900,1850,26-Dec-18
Uttar Pradesh,Agra,Jagnair,Dara,Cereals,9,1800,1900,1850,28-Dec-18
Uttar Pradesh,Agra,Achnera,Dara,Cereals,5,1800,1900,1850,14-Dec-18
