"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Ajay Singhal","SAWC PEG BAGHPAT","6721260","OPP GOPICHAND COLLEGE, HARCHANDPUR","Baghpat","UTTAR PRADESH","15000","26-May-2023","25-May-2028","6398019162","Active",""
"ANNAPURNA WAREHOUSING","ANNAPURNA WAREHOUSING","7731659","PAGAR, LALGANJ","Mirzapur","UTTAR PRADESH","50000","06-May-2020","05-May-2025","7571899993","Active",""
"Bahuudheshiya prathmik gramin sahkari samiti Manda","manda sadhan sehkari samiti","6978936","manda khas,","Allahabad","UTTAR PRADESH","100","23-Sep-2024","22-Sep-2029","8726754621","Active",""
"Central Warehousing Corporation","CENTRALL WAREHOUSE SHAHGANJ","4151652","NEAR RAILWAY CROSSING, SUGAR MILL SHAHGANJ","Jaunpur","UTTAR PRADESH","53400","31-Mar-2021","30-Mar-2026","7311171291","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE DUMARIAGANJ","2851661","NEAR BAIDOLA CHAURAHA, DUMARIAGANJ","Siddharthnagar","UTTAR PRADESH","10000","26-Feb-2021","25-Feb-2026","7311171269","Active",""
"Central Warehousing Corporation","CW GORAKHPUR","4450020","Near Nakha Jungle Rly. Station, Fertilizer Factory","Gorakhpur","UTTAR PRADESH","29700","25-Sep-2023","24-Mar-2028","7311171272","Active",""
"Central Warehousing Corporation","Sahibabad II","4371642","A-26, Site- IV, Industrial Area, Sahibabad,","Ghaziabad","UTTAR PRADESH","19513","07-Apr-2021","06-Apr-2026","9811824011","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE CHANDAUSI II","2891641","NAVIN MANDI, CHANDAUSI","Moradabad","UTTAR PRADESH","10640","26-Feb-2021","25-Feb-2026","7311171269","Active",""
"Central Warehousing Corporation","CW SAHARANPUR-I","6786065","JANTA ROAD, SAHARANPUR","Saharanpur","UTTAR PRADESH","26983","26-Sep-2023","25-Dec-2027","8360374940","Active",""
"Central Warehousing Corporation","CENTRAL WAREHOUSE ETAWAH","3451643","NEW KRISHI UTPADAN MANDI SAMITI, BHARTHANA ROAD","Etawah","UTTAR PRADESH","21940","12-Mar-2021","11-Mar-2026","7311171270","Active",""
